match_id,player,player_deaths_per_min,player_assists_per_min,player_tower_damage,player_xp_per_min,player_gold_per_min,player_kills_per_min,player_roshans_killed,player_obs_placed,opponent,opponent_deaths_per_min,opponent_assists_per_min,opponent_tower_damage,opponent_xp_per_min,opponent_gold_per_min,opponent_kills_per_min,opponent_roshans_killed,opponent_obs_placed,winner,player_tower_damage_per_min,opponent_tower_damage_per_min,player_hero_damage_per_min,opponent_hero_damage_per_min,player_last_hits_per_min,opponent_last_hits_per_min,player_win_ratio,opponent_win_ratio
6881648118,295824968,0,0.2964071228084272,0,638.8,467.7,0.1770054023792881,0,0,125564050,0.15711604016138322,0.4162711718251392,0,785.2105263157895,539.578947368421,0.20910628440212248,0,0,125564050,82.7522035420495,106.75092132926012,547.1732064924203,734.8142442476083,4.469225983206689,4.530264575785945,0.5302547770700637,0.48668796592119273
6881648810,892127008,0,0.6937310016955951,0,921.15,653.95,0.17762189154927846,0,0,313073682,0,0.4254406437451498,0,858.45,628.85,0.25193525257061317,0,0,313073682,44.57251454706825,129.0935362560861,682.3025400281173,870.9457796796971,0.881913418790654,4.145421927625245,0.5139353400222966,0.5072463768115942
6881649809,169766227,0.16709148913269986,0.3763984796855991,0,707.8,465.8,0.2515295844512937,0,0,301978032,0.3778801413115857,0.20342896782290495,0,514.75,365.7,0.11613324175583492,0,0,301978032,81.5308412358584,36.794292367116256,743.1785375194189,445.24969548502474,3.984691927296621,2.8999285722746935,0.5327731092436975,0.4639175257731959
6881651210,1038988030,0,0,0,782.1,631.1,0.32710446895572537,0,0,1351063736,0,0,0,765.8,503.0,0.24579692095007402,0,0,1038988030,222.1913746895773,96.7830813309174,843.6674265461854,784.3886095758824,7.089319906268602,3.567981301925807,0.5682539682539682,0.5833333333333334
6881651217,839866239,0.17797382781701546,0.29273642207471406,0,706.25,567.55,0.1798855512630602,0,0,223458818,0.18600909902437965,0.3266296582943836,0,668.2,502.7,0.2821507427815721,0,0,223458818,101.17394424342692,62.508964392304584,549.5442352064048,696.0504230220625,6.188312710707966,5.241833571914526,0.5271387491013659,0.4960809928151535
6881651807,284139580,0.1998662734835277,0.27002281760366376,0,649.7,465.75,0.18269840433279633,0,0,187332944,0.2229481921456951,0.40338993805251955,0,612.65,401.35,0.16239341647606953,0,0,284139580,160.89620007016725,23.432756491726686,601.1137129395631,641.8342954301348,4.533420815666417,2.87421898535436,0.5103499260719566,0.5034074074074074
6881652500,128060793,0.22719426724573913,0.35738797636270814,0,590.2,408.9,0.18388643166672694,0,0,444921384,0.21921188673403214,0.3455917349902437,0,659.2105263157895,458.42105263157896,0.19659338405628915,0,0,444921384,55.119520026670315,114.75739606092152,565.2769211786031,603.738821909841,3.553287034733036,3.539732502714043,0.4875919117647059,0.5322128851540616
6881653400,141881157,0.2651202579316785,0.355930103331955,0,903.85,663.6,0.301683132489622,0,0,249688168,0.2726911722519411,0.4268989584725039,0,777.3,513.65,0.17061251956720258,0,0,141881157,98.17330695783718,33.581932339179275,961.924742754052,547.1934039878419,4.873839470697285,1.700260738528461,0.48915254237288136,0.48295454545454547
6881653911,370925422,0,0,0,0,0,0,0,0,136419722,0,0,0,0,0,0,0,0,370925422,0,0,0,499.16982168272096,5.558251530092848,2.4777050278438715,0.5214857975236707,0.5034872135503156
6881655518,376078096,0.23695241080941237,0.40229887184642943,0,902.6,696.85,0.26686389800442883,0,0,393626312,0.2713005857976794,0.46284300407053225,0,631.85,492.55,0.1764908268898913,0,0,393626312,91.83743496327806,105.01269646710455,965.3674920355028,545.7958218900364,4.03782559082151,3.3816891675980836,0.5129975629569455,0.515256588072122
6881656505,249024220,0,0,0,694.05,581.05,0.2172878160048637,0,0,1055147363,0,0,0,812.2105263157895,602.421052631579,0.29399065585653794,0,0,249024220,220.22488967233312,99.20883537782852,673.1715498490731,732.2306410881862,7.621260325408092,5.478124663236838,0.5048595158155151,0.5380116959064327
6881656509,211714765,0.2800144779809549,0.37382606592907297,0,833.75,556.8,0.22279632113152292,0,0,164591051,0.1575522106722102,0.3196623145517865,0,789.55,623.55,0.28836693208437486,0,0,164591051,26.863220377321472,127.7447510281365,721.4774720687335,813.5045344642351,3.5257348221086495,6.997210618152513,0.504581901489118,0.5355795825999498
6881656818,324308724,0.15235854395208842,0.38370055981304607,0,728.4,553.75,0.3570093579128563,0,0,199640649,0.2259101731067597,0.5882270172161982,0,645.9,445.75,0.16476461412310872,0,0,324308724,142.969077125792,46.34630050242099,810.4501388171037,593.9868289724394,5.454224357602978,2.36994085534081,0.5207687538747675,0.5096286107290234
