match_id,radiant_win,duration,avg_mmr,game_mode,start_time
6880950609,True,1322,1834.0,22,1669213952
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880950303,True,1682,,22,1669213941
6880950205,True,1577,3689.0,22,1669213940
6880949904,False,1636,,22,1669213930
6880949704,True,1716,2917.0,3,1669213915
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
6880948904,False,1576,3887.0,22,1669213896
6880948209,True,1701,4025.0,22,1669213866
6880948102,True,1373,3212.0,22,1669213874
6880947711,False,1576,3326.0,22,1669213856
6880947709,True,1633,,22,1669213859
6880947619,True,1306,2725.0,22,1669213855
6880947613,True,1629,3602.0,22,1669213854
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880947409,True,1762,3973.0,22,1669213839
6880947407,False,1740,3414.0,22,1669213825
6880947406,False,1528,,22,1669213814
6880945802,True,1652,,22,1669213804
6880945518,False,1551,3180.0,22,1669213776
6880945517,False,1641,2374.0,22,1669213767
6880945516,True,1778,1381.0,4,1669213774
6880945011,False,1616,2613.0,22,1669213760
6880944804,False,1835,2941.0,22,1669213769
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943708,True,1788,3734.0,22,1669213736
6880943106,True,1249,3167.0,22,1669213719
6880943009,True,1664,,22,1669213701
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942901,True,1811,2709.0,22,1669213713
6880942716,True,1678,,22,1669213710
6880942714,True,1805,3633.0,22,1669213704
6880942705,True,1899,1851.0,22,1669213695
6880942614,True,1903,,22,1669213704
6880942416,True,1891,,22,1669213696
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880941500,True,1911,,22,1669213670
6880941315,True,1810,3738.0,22,1669213659
6880941117,False,1937,3341.0,3,1669213655
6880941109,False,1912,3654.0,22,1669213649
6880941012,False,1872,,22,1669213654
6880940904,False,1937,,22,1669213650
6880940903,True,1879,,22,1669213649
6880940815,False,1210,2729.0,22,1669213649
6880940811,False,1501,,22,1669213645
