'match_id','hero_id','account_id','net_worth','kills','deaths','hero_damage','gold_per_min','assists','xp_per_min','kills','last_hits','tower_damage','obs_placed','roshans_killed'
6879556900,41,125047587.0,11895,3,1,7763,446,5,602,3,129,4538,,
6879556900,20,,9051,5,4,8963,361,7,456,5,74,2262,,
6879556900,85,,9932,8,3,6165,391,2,463,8,91,1273,,
6879556900,49,257558657.0,12657,1,3,3981,464,8,563,1,124,4617,,
6879556900,15,,1366,0,2,2603,144,0,55,0,5,18,,
6879556900,104,,103,0,1,0,121,0,19,0,0,0,,
6879556900,40,385902624.0,10715,5,9,23926,433,3,423,5,98,117,,
6879556900,58,426990257.0,10245,1,5,6966,396,4,396,1,97,3193,,
6879556900,52,476371588.0,13982,5,8,22504,566,1,686,5,147,1448,,
6879556304,22,397357941.0,9996,13,4,19105,374,24,537,13,19,1324,,
6879556304,76,,9346,9,1,17323,367,18,531,9,43,4483,,
6879556304,63,62250410.0,14521,9,1,17408,513,26,650,9,126,9924,,
6879556304,7,,9918,6,7,14851,373,20,482,6,62,1413,,
6879556304,4,,16067,12,2,21074,605,9,852,12,159,7134,,
6879556304,100,248269945.0,6522,4,14,13381,293,3,381,4,64,0,,
6879556304,88,226328423.0,5031,2,10,10376,209,11,238,2,2,47,,
6879556304,9,96126249.0,6454,1,10,7498,247,6,293,1,66,0,,
6879556304,69,,11193,2,6,8540,429,3,490,2,92,0,,
6879556304,12,175186337.0,8436,6,9,12957,323,1,399,6,72,209,,
6879556116,1,905733233.0,8921,3,10,8186,338,1,413,3,128,605,,
6879556116,137,838223658.0,7132,1,10,12253,288,5,344,1,105,0,,
6879556116,86,,7708,3,7,13244,304,2,401,3,98,33,,
6879556116,20,41632943.0,5548,2,5,12341,223,5,362,2,40,0,,
6879556116,119,,4404,2,3,9132,182,5,255,2,16,0,,
6879556116,128,,10131,8,3,8879,396,5,451,8,49,2567,,
6879556116,29,117561196.0,12991,3,2,13919,540,13,609,3,189,5935,,
6879556116,70,321883417.0,14621,9,1,17015,521,9,659,9,154,6095,,
6879556116,111,,6012,2,2,3995,250,12,410,2,22,456,,
6879556116,101,,13170,12,3,18026,507,8,619,12,125,5310,,
6879556010,14,,5751,2,7,6754,221,2,301,2,39,0,,
6879556010,36,488085099.0,4572,0,11,5704,188,3,219,0,31,76,,
6879556010,56,,11444,1,1,7641,425,1,539,1,177,76,,
6879556010,104,215270782.0,7458,2,2,7850,279,3,305,2,80,0,,
6879556010,10,,288,0,7,7427,354,2,456,0,153,1044,,
6879556010,54,,17273,6,2,11401,641,4,671,6,246,6263,,
6879556010,135,143830740.0,13802,4,1,12649,528,10,529,4,165,7053,,
6879556010,86,168626588.0,6729,0,0,8924,286,15,461,0,37,259,,
6879556010,6,189998900.0,14985,11,3,24478,618,7,613,11,173,13601,,
6879556010,121,,7767,6,0,7141,307,10,456,6,20,742,,
6879555915,106,,7790,3,11,16070,336,7,506,3,73,0,,
6879555915,19,,11181,7,9,17358,492,8,624,7,162,0,,
6879555915,91,,4576,1,16,2786,206,12,301,1,6,0,,
6879555915,14,894935146.0,5403,4,12,9859,281,13,344,4,26,0,,
6879555915,7,293988484.0,15388,6,7,12788,416,7,750,6,96,0,,
6879555915,11,1078582981.0,16680,37,4,89275,876,6,1270,37,151,18255,,
6879555915,1,,13060,2,3,4950,494,5,638,2,192,721,,
